"","Protein","Gene","Protein_Description","aLOG_PISA_1","aLOG_PISA_2","aLOG_PISA_3","aLOG_PISA_4","bSTAT_PISA_1","bSTAT_PISA_2","bSTAT_PISA_3","bSTAT_PISA_4","cLOG_PROT_1","cLOG_PROT_2","cLOG_PROT_3","cLOG_PROT_4","dSTAT_PROT_1","dSTAT_PROT_2","dSTAT_PROT_3","dSTAT_PROT_4","log_prot","log_PISA","log_adj_p_PISA","log_adj_p_PROT","significant_PISA","significant_PROT","sig_PISA","sig_PROT","sig_all"
"312","sp|P0A7T7|RS18_ECOLI","rpsR","30S ribosomal protein S18",1070411.74799465,1184886.61487205,1167576.47991986,1123063.85891819,3550439.78014239,3309997.00680047,3557524.94602339,3509175.5507479,4981930.72248442,4859235.43,5336809.20021566,4786385.33866139,2091545.77210047,2020499.32141135,1999246.09140761,1945158.15511902,-1.30921081850723,1.61524860732193,5.32397194306739,5.89615293372979,"significant","significant",1,2,"3"
"313","sp|P0A7U3|RS19_ECOLI","rpsS","30S ribosomal protein S19",724663.69077866,819423.989058667,758452.959490636,719102.119956964,4663943.08048695,4204106.94466824,4670823.95177788,4899476.13447404,9300698.04899454,9487629.34,8964913.95031902,9168807.71890887,1171247.95311761,982629.460911373,813914.592614447,815282.475231956,-3.28685153443879,2.60930455749831,4.90557113524683,7.39220984402078,"significant","significant",1,2,"3"
"314","sp|P0A7U7|RS20_ECOLI","rpsT","30S ribosomal protein S20",1119861.02195423,1271685.1885719,1223697.18751007,1065174.09540226,4092355.53352264,3378354.3809387,3928164.09737796,3841055.63057407,6877499.5477929,6989590.169,7215224.41143468,7072081.63473165,1685082.78242678,1576865.62792109,1346440.95159138,1329623.40106309,-2.2453080894171,1.70314711329303,4.37337791915683,7.15361461124711,"significant","significant",1,2,"3"
"315","sp|P0A7V0|RS2_ECOLI","rpsB","30S ribosomal protein S2",14540699.7325889,14892455.736405,14124512.9198293,15535422.424401,25747483.9119088,26108052.8721527,26116756.7511608,27142116.5637655,48566179.8593848,50532185.32,48452097.0501828,52374632.257758,13069889.3549049,12321761.4951958,9682331.02601602,10117632.0693733,-2.14533258316782,0.830899096514163,4.94249383129212,6.40803351138988,"not significant","significant",0,2,"2"
"316","sp|P0A7V3|RS3_ECOLI","rpsC","30S ribosomal protein S3",1851590.7870986,2104204.24600778,1828471.52715004,1969404.80026403,10206058.9112313,10013911.836019,12359286.5747886,12412751.4590166,31927166.8833827,31387974.36,33738827.1835464,32853557.8266216,8394442.89081629,6973825.92913328,6079138.98621911,5771669.67602846,-2.25479493992708,2.53671728824664,4.13717874542743,6.50507944295322,"significant","significant",1,2,"3"
"317","sp|P0A7V8|RS4_ECOLI","rpsD","30S ribosomal protein S4",3753189.61456879,3800284.83905746,3522862.56741835,3568083.83328914,28531718.3229021,24787512.8806738,32664052.7352431,38673411.21124,82820061.9061657,84572452.07,96213420.2560512,91561507.5588684,12420036.3995507,12447733.2676526,11111912.4415239,11619202.4823811,-2.89949966422162,3.08953732527131,3.43395168284422,5.96380922805208,"significant","significant",1,2,"3"
"318","sp|P0A7W1|RS5_ECOLI","rpsE","30S ribosomal protein S5",7444446.25130565,7295639.31854329,6763351.02109991,7591411.33735113,15649027.154926,15241883.0035297,16849285.18385,17153472.5623014,39399104.8909314,39608140.89,40735390.2119787,39925953.1687352,10367210.6289398,8793012.35267793,8433808.13257045,8456061.80216875,-2.14700564314304,1.15731400650226,4.53019723017456,7.32367821148616,"significant","significant",1,2,"3"
"319","sp|P0A7W7|RS8_ECOLI","rpsH","30S ribosomal protein S8",3070513.91870964,3089868.71214891,3034190.70082419,2925112.70275665,5813295.87472326,5260717.42047429,5916783.99161711,5876210.15848802,12540036.7323479,12439687.5,10542335.6032279,12450338.3557682,2613400.42847121,2336848.37443465,2381737.38207902,2320444.7312906,-2.31324033444826,0.915915250119338,4.41479194981605,5.51316620349078,"not significant","significant",0,2,"2"
"320","sp|P0A7X3|RS9_ECOLI","rpsI","30S ribosomal protein S9",1800031.78120344,1962889.27673632,1728345.35810729,1989258.25524711,11987859.8115534,12900358.689545,16673633.1750634,17980847.305951,52143179.7634615,54777178.02,36335128.2494388,55226605.3147302,7494912.77836956,8964564.28166772,8118532.74234847,8088401.59567753,-2.60312896181943,2.99271325132773,3.38528851616222,3.84630567164689,"significant","significant",1,2,"3"
"321","sp|P0A7X6|RIMM_ECOLI","rimM","Ribosome maturation factor RimM",2929565.96167817,2743958.08964048,2959121.62419326,2976635.8792498,2138516.38588122,2316123.48910022,2050400.91773957,1863258.30753387,2665232.79024867,2595755.691,2587674.90717286,2592149.77563624,1008793.08340748,928448.466441218,855874.775709133,893604.775320692,-1.5018238916934,-0.472272370667919,3.0376537926361,7.03218692629619,"not significant","significant",0,2,"2"
"322","sp|P0A7Y0|RNC_ECOLI","rnc","Ribonuclease 3",1708353.85173165,1665874.28168466,1606859.07312884,1641852.89413267,2746185.00907606,2259459.53935779,2470107.71801394,2735933.23015011,5472982.59935984,5571608.736,5264324.1484378,5481816.94570087,1042459.53267138,987709.09400196,913372.619966604,910761.497900711,-2.49917288829725,0.624677295514768,3.05789467180187,7.43008449590451,"not significant","significant",0,2,"2"
"323","sp|P0A7Y4|RNH_ECOLI","rnhA","Ribonuclease HI",765186.114166982,733308.94202171,712675.365813604,760131.937995406,811868.10444088,784439.169327658,786232.656554109,819745.910882725,1211938.74459532,1146129.293,1143080.99921905,1110949.96566884,389891.74852115,330337.378537325,330771.039329742,339955.132652838,-1.72934742504047,0.108006669469311,1.82074089370977,6.43519474994564,"not significant","significant",0,2,"2"
"324","sp|P0A7Z0|RPIA_ECOLI","rpiA","Ribose-5-phosphate isomerase A",19079464.0712967,18745471.3510568,19234775.6750707,18321551.2452425,22584534.8463822,20591352.9171997,17943942.7770837,17739923.0406078,17332382.5160522,18355019.27,17893355.4604,17948369.986755,18159572.6407018,19566177.8524139,18709640.8460742,20108773.0655545,0.0977615548267413,0.0650832476303979,0.270775907201726,1.33928818085903,"not significant","not significant",0,0,"0"
"325","sp|P0A7Z4|RPOA_ECOLI","rpoA","DNA-directed RNA polymerase subunit alpha",35429960.5397954,38954664.484287,37725959.0176494,35887341.8006756,30289857.8243567,34226095.4931776,30944364.7954972,28833379.5521921,22005858.0660233,22194303.79,22839318.7842774,21549333.8190307,19734873.9426015,20250992.9399532,19775348.0934057,19029510.8189855,-0.169098725798995,-0.251823810822073,1.9906509172815,3.12218384580807,"not significant","not significant",0,0,"0"
"326","sp|P0A800|RPOZ_ECOLI","rpoZ","DNA-directed RNA polymerase subunit omega",160841.507980449,148637.956188913,141394.778459136,151098.567375596,485315.032085133,357379.170638018,378040.789205251,423177.496020497,787961.5799705,705132.4023,775629.399826793,689080.647354464,323437.340059281,279110.760852419,295974.559117498,308171.503421151,-1.29346639777053,1.44936327091521,3.40493058121068,5.14177167129821,"significant","significant",1,2,"3"
"327","sp|P0A805|RRF_ECOLI","frr","Ribosome-recycling factor",14152830.9143646,17758056.5486471,18191358.3119973,14564160.1562156,13457048.5462254,11462791.3087577,11888299.4539488,10480244.6075586,7655467.8027345,6778293.795,7317832.67880565,6859811.90312564,9521487.30752343,9871822.05476517,9765740.89661195,8718011.28010554,0.404734008157286,-0.451530591188961,1.71203970326204,3.22184389278019,"not significant","not significant",0,0,"0"
"328","sp|P0A809|RUVA_ECOLI","ruvA","Holliday junction ATP-dependent DNA helicase RuvA",1242227.86447301,1329568.62049647,1367265.45130449,1282701.64776841,1024867.0245127,932920.353322253,965171.554753231,921567.092521108,775217.205847415,740752.75,709802.523327265,779962.228176459,1142034.4144257,1095733.73642239,1164234.6934405,1113368.64846898,0.587127007822491,-0.441731395388408,3.50980750605889,5.1904962930491,"not significant","not significant",0,0,"0"
"329","sp|P0A812|RUVB_ECOLI","ruvB","Holliday junction ATP-dependent DNA helicase RuvB",94541.2606380575,116968.022819302,102769.34745166,98523.8447270291,346632.884474774,314266.895547797,382760.361762511,353766.474955253,866626.948496414,838363.4712,890393.110252371,834661.50749444,276646.727869056,221201.94810853,236924.370219303,209576.146270996,-1.86083519009594,1.75924899666063,4.37337791915683,6.43858552432674,"significant","significant",1,2,"3"
"330","sp|P0A814|RUVC_ECOLI","ruvC","Crossover junction endodeoxyribonuclease RuvC",106583.810748812,122126.765551731,107489.838949866,123094.479341416,265244.162960674,199163.241083136,204751.68272142,246353.029531555,316968.898650467,347801.4688,360933.929198152,346623.082180617,99710.0154032689,98130.6474132175,79032.0166179932,79432.7221348444,-1.94543842820028,0.995158232412736,2.87010641229181,5.86659573710617,"not significant","significant",0,2,"2"
"331","sp|P0A817|METK_ECOLI","metK","S-adenosylmethionine synthase",1108914.62837222,1235154.32707911,1071314.30505589,1145715.23946432,2039363.73124201,1893772.61399064,2124180.29729886,2222167.38595334,5161686.15733328,5228513.717,4727898.23197932,5162333.48987193,2861329.64271966,2775931.32585093,2874275.00527393,2752147.6381008,-0.848409639770239,0.860159536308192,3.88633164685808,5.43981145511583,"not significant","not significant",0,0,"0"
"332","sp|P0A821|SELA_ECOLI","selA","L-seryl-tRNA(Sec) selenium transferase",996052.715930388,927637.907772685,916382.521029475,964806.697075804,723434.057005629,679624.074154987,668510.428366687,737255.621986003,1185121.78377004,1153484.57,1157996.19514325,1169846.18699018,554875.984318384,423374.449372615,497277.311782158,491019.697639689,-1.24666005486659,-0.437884572382056,3.60106224297693,5.94042439352163,"not significant","significant",0,2,"2"
"333","sp|P0A823|SFSA_ECOLI","sfsA","Sugar fermentation stimulation protein A",363534.331501586,351792.275813547,322085.919921544,323448.203910455,270569.336048068,224749.137656059,241312.817213524,248126.707858546,336205.947552453,352164.7812,328990.690796499,331104.304117419,225159.464922508,194631.114008237,187081.145088809,192275.994119361,-0.75478474321222,-0.466678295312114,2.82977861663515,4.72098485488861,"not significant","not significant",0,0,"0"
"334","sp|P0A825|GLYA_ECOLI","glyA","Serine hydroxymethyltransferase",66384369.4270916,88708444.6462428,105935105.88397,80308415.435614,60476540.0455781,57480312.5546205,60109248.6888037,55644384.6644291,42542922.939964,46413803.68,44027417.887822,49056718.6385831,75107866.2500236,72732761.7242536,74766412.0931849,74033553.7399193,0.704453705057714,-0.546471532717427,1.55791545568492,5.43068380495256,"not significant","not significant",0,0,"0"
"335","sp|P0A830|DCTA_ECOLI","dctA","Aerobic C4-dicarboxylate transport protein",686738.146967531,646334.801944223,688425.989851665,716381.265767534,784160.381002276,790505.251616601,865060.755794371,934793.688386398,1415352.31769912,1330260.059,1432959.06746792,1419381.52597511,1086244.42968936,1001882.24669669,1070923.72577971,1008191.35501383,-0.425806567937116,0.301623014002583,1.96333243290258,4.29278308689622,"not significant","not significant",0,0,"0"
"336","sp|P0A832|SSRP_ECOLI","smpB","SsrA-binding protein",119156.054604427,104114.909766043,108210.656658612,116605.171272023,104493.264605987,107152.978245759,101937.760084495,106738.320262506,188374.412102582,192638.3711,211852.262753407,192114.312481229,75222.9281208707,70890.6715511195,70779.8721808108,65188.0601222922,-1.47654250284272,-0.092282122936964,0.852628724760686,5.7651760963527,"not significant","significant",0,2,"2"
"337","sp|P0A836|SUCC_ECOLI","sucC","Succinate--CoA ligase [ADP-forming] subunit beta",31547632.301518,29203909.7872609,28055876.8300377,30956598.0884724,23198852.883742,27254759.6764164,24988205.6538573,25186354.0527746,28079172.8978019,27393837.8,28042643.2681197,28162697.7534408,18139729.3737769,16604783.8742693,17093331.3582966,16655576.3927676,-0.705312229219884,-0.251160252399409,1.96163506390962,6.155392253497,"not significant","not significant",0,0,"0"
"338","sp|P0A840|SURE_ECOLI","surE","5'/3'-nucleotidase SurE",93023.8436810684,105797.473736868,106778.223523783,95038.9825080686,161439.571448933,160734.226367769,159014.919254318,156660.080766233,184310.176249319,191568.8057,204517.870237776,202691.337977715,140968.224536679,131008.50826336,118361.48247583,131040.038902262,-0.586844379008509,0.670913323069399,4.320387616914,3.99014875257869,"not significant","not significant",0,0,"0"
"339","sp|P0A843|TATE_ECOLI","tatE","Sec-independent protein translocase protein TatE",459156.763439416,460785.166155039,452760.975262798,445808.954454584,461948.141517643,494182.661425341,422556.096157364,413533.257946228,738315.195888979,704902.7793,641409.434910065,674048.028430288,282490.868624286,247554.63643099,243792.453414103,239499.979112735,-1.44486035381699,-0.0210104647482906,0.111704933685194,5.4467381171626,"not significant","significant",0,2,"2"
"340","sp|P0A847|TGT_ECOLI","tgt","Queuine tRNA-ribosyltransferase",847814.439253468,831447.607139233,833576.868620761,904254.898130795,1401136.11475228,1522462.35362029,1497463.72084772,1610436.10436607,3373228.30104978,3326341.773,3342253.14410766,3416479.78342123,1544853.60849689,1424808.7495268,1360370.91125423,1466156.31578599,-1.21531981833519,0.819746572530086,4.14008541143813,6.99205345389465,"not significant","significant",0,2,"2"
"341","sp|P0A850|TIG_ECOLI","tig","Trigger factor",51118756.4028774,57508064.1861548,56344482.3562019,52496060.0578509,43712838.4145887,47331999.3827157,42809208.1482053,38759616.4777434,31779376.3968682,31610787.13,32579575.3462605,31276160.5813889,28368871.835948,28876619.0860524,28725198.0715429,27375278.8071375,-0.166886096498493,-0.33325224210263,2.22255727701489,3.51439978082653,"not significant","not significant",0,0,"0"
"342","sp|P0A853|TNAA_ECOLI","tnaA","Tryptophanase",489637051.294975,451188889.998805,435955241.344581,483825937.442934,302461379.52945,341507309.082802,301523960.338347,338141253.602537,391591201.139818,399911498.6,430711566.926059,423455381.503186,333393536.057303,356060614.535286,322753042.28629,344113815.74073,-0.278976087961619,-0.535539653816326,3.28756209214116,2.94782173858827,"not significant","not significant",0,0,"0"
"343","sp|P0A855|TOLB_ECOLI","tolB","Tol-Pal system protein TolB",10246749.8083521,9100652.22243276,9400841.03636305,9411356.05833846,6631696.09776492,6636235.0042083,6988230.45615631,7025738.99615966,5869965.45446872,5692486.122,5998344.02174147,5889111.65850105,10276318.9869089,9917951.98369315,10842770.7066373,10326713.6177848,0.818784952724629,-0.484101864477944,3.60146649170944,5.77638322296924,"not significant","not significant",0,0,"0"
"344","sp|P0A858|TPIS_ECOLI","tpiA","Triosephosphate isomerase",2424711.94198264,3232665.48041115,3293894.20481676,2296004.87883933,11247945.3967026,6741610.05768474,7624978.44934209,6540208.35813418,6550936.40692063,6933293.513,6633548.58161585,7299338.25746544,3884762.21634571,3562286.79297947,3714724.8973118,3609947.34964015,-0.892238918157716,1.51545582602416,2.15689939564689,5.22507894351054,"significant","not significant",1,0,"1"
"345","sp|P0A862|TPX_ECOLI","tpx","Thiol peroxidase",15533127.3619598,16405957.2611822,16189807.1123019,15499557.2468497,11840353.6655931,12890497.0170536,11563840.975922,11735076.0982581,6486062.01404283,6521779.713,5947114.33927839,6762323.89612158,10880669.6924934,11022310.8088054,10813195.4996917,11157537.1654656,0.770618749895394,-0.405743122059245,3.63930239206318,5.93101630333372,"not significant","not significant",0,0,"0"
"346","sp|P0A867|TALA_ECOLI","talA","Transaldolase A",13154121.6214918,11807359.3327302,12542662.0222149,12314772.7340897,10666566.0809468,10866408.4518669,11138705.5554353,11672720.5888045,6404537.81407937,6240798.431,6188993.51437521,6081945.59473518,12532279.178204,12423704.1089453,12781607.7771343,13208003.3020594,1.03186897041621,-0.167941673847415,1.84419091572096,6.60864195474187,"not significant","significant",0,2,"2"
"347","sp|P0A870|TALB_ECOLI","talB","Transaldolase B",36712168.207026,34054652.8937675,34859778.1799787,36010171.2442788,34372260.4687653,34817591.9499901,35957481.1360302,38510571.575899,25813220.0555858,26188866.57,26096478.8584584,26430982.4795281,29977642.6611095,30789141.7192278,30064918.6261106,30842296.9808886,0.219110102668984,0.0204415287344018,0.153714174526049,5.11359233474054,"not significant","not significant",0,0,"0"
"348","sp|P0A873|TRMD_ECOLI","trmD","tRNA (guanine-N(1)-)-methyltransferase",1489926.83226168,1450898.93640185,1352092.3410946,1481386.64192607,1184132.85541685,1289065.27430884,1219739.14829434,1283571.42850036,2230682.1670213,2328803.118,2208460.47138519,2303688.50183648,952112.334833686,890463.13676619,775365.308233587,1198578.72786566,-1.24910491069125,-0.214513283444805,2.25716874592821,4.78005777643669,"not significant","significant",0,2,"2"
"349","sp|P0A877|TRPA_ECOLI","trpA","Tryptophan synthase alpha chain",1144161.71197479,1009228.53747498,1019545.27394926,1025841.80071273,2472465.85272447,1874769.25411465,1861131.88459329,1816884.13077225,2546770.95199792,2619285.518,2678183.93568619,2591833.81632672,1290006.82785449,1270801.72876183,1299976.03097558,1435924.82538764,-0.978410842771601,0.934577258020204,2.62851887038829,6.17848519510148,"not significant","not significant",0,0,"0"
"350","sp|P0A879|TRPB_ECOLI","trpB","Tryptophan synthase beta chain",5897353.65087598,6297534.18814666,6001205.71644424,6042096.29279096,5567542.38216375,5859071.96174465,5668264.68003655,6214959.68281118,5457982.97884729,5822271.861,5828794.65552777,6017796.13836554,7998718.43456405,8696623.3376043,7948527.82488424,8404740.9820178,0.515021115364656,-0.0563429380431517,0.597470545497588,4.37214011028366,"not significant","not significant",0,0,"0"
"351","sp|P0A881|TRPR_ECOLI","trpR","Trp operon repressor",363491.369547714,386949.330505186,342375.342644363,294406.945763793,1327686.68438182,887177.609706276,761924.149870354,751314.497488561,964933.326417899,815999.2471,865943.048367811,791628.892788188,515285.583157922,509421.763626962,529998.292799205,496736.960730443,-0.745142451856414,1.42624198506071,2.01219089696771,3.76355759026298,"significant","not significant",1,0,"1"
"352","sp|P0A884|TYSY_ECOLI","thyA","Thymidylate synthase",930883.616805341,956931.025877443,916029.001258743,1026182.48610255,1896390.77854829,2132708.84829312,1941314.66324485,2230547.14750969,4451547.45372799,4677827.322,4744646.91073123,4726287.77517179,3003471.82776699,3069077.93050373,2905776.79748194,2836316.5382238,-0.654750576388353,1.09843881877192,4.04352085923861,5.55017199506597,"significant","not significant",1,0,"1"
"353","sp|P0A887|UBIE_ECOLI","ubiE","Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE",1699367.97727426,1642826.04126623,1765749.91464649,1689308.9587465,3341544.58714335,3421875.8234183,3497946.51131763,3339196.24567573,4671679.85502207,4519213.606,4835353.51350765,4421412.09111993,3178047.52464574,3045328.08439648,3161923.91482734,2829322.49137754,-0.594828535943165,1.00064268692002,5.32397194306739,4.59235247409419,"significant","not significant",1,0,"1"
"354","sp|P0A894|RAPZ_ECOLI","rapZ","RNase adapter protein RapZ",416490.947405031,405736.0586463,382599.569570106,433964.051006242,458525.725135795,455077.466482942,466182.937923834,446128.546495247,663919.883794921,683029.9072,698828.364415193,648240.119940663,427141.525815465,409751.890338297,402190.148058962,396293.715698672,-0.720136135179694,0.155987804384464,1.92770905637065,5.60399164588821,"not significant","not significant",0,0,"0"
"355","sp|P0A8A0|YEBC_ECOLI","yebC","Probable transcriptional regulatory protein YebC",16009027.8491894,15100322.1361431,15071879.9135635,15105982.827352,9681854.92655117,9485415.53864391,9347678.97897459,9705351.74144274,11619966.4550049,11646302.67,11320064.5334365,11495311.0976988,3202500.86977957,2938577.72044294,3144397.17246655,2729450.6883609,-1.93936439359822,-0.681246946969628,4.8092983828152,7.46349256720344,"not significant","significant",0,2,"2"
"356","sp|P0A8A2|YEEN_ECOLI","yeeN","Probable transcriptional regulatory protein YeeN",2982577.14066678,2790928.79137848,2833292.76828912,2906118.31400644,2060356.08533044,1851054.10720608,1910928.02836201,1941799.2589165,2356780.67318474,2419604.802,2341717.15569561,2487806.60736032,1453322.74870566,1353007.65050661,1421766.46997976,1396037.89995608,-0.772291011672095,-0.568355844508652,4.27398617160454,6.00918778228593,"not significant","not significant",0,0,"0"
"357","sp|P0A8A4|PSRP_ECOLI","ppsR","Phosphoenolpyruvate synthase regulatory protein",121686.628430023,137485.741274759,142881.82527465,136139.783608659,223761.929789003,182654.101039611,217299.485126404,203793.91914032,345049.266796887,353097.1016,319158.798954311,323417.072638366,231299.302936934,193507.645495687,191022.881593378,218494.470316159,-0.684330211544343,0.620649511396242,2.95070173608388,4.00368251215916,"not significant","not significant",0,0,"0"
"358","sp|P0A8A8|RIMP_ECOLI","rimP","Ribosome maturation factor RimP",1103527.90270683,863319.444727682,957396.299404882,1044865.35100852,759537.020748925,730199.778031955,759905.395717312,845963.702951579,831221.759550051,815435.3379,774798.679785611,820376.090990746,658466.393227855,591954.729736031,611152.831132614,610804.323860867,-0.390909775161716,-0.358593368291984,1.79984847242923,4.08047634766373,"not significant","not significant",0,0,"0"
"359","sp|P0A8B5|YBAB_ECOLI","ybaB","Nucleoid-associated protein YbaB",2933814.76165969,3266087.07920758,3299226.88658971,2809778.50692638,6819023.2059609,5750819.23963883,5864257.35607835,5205252.15075184,8136229.1663092,7887381.095,6749024.32824896,7854479.78418621,3399588.72192828,3547564.73429231,3758856.10839428,3603068.40744209,-1.0978787327255,0.941487798826555,3.15154196547747,4.58713299911986,"not significant","significant",0,2,"2"
"360","sp|P0A8D0|NRDR_ECOLI","nrdR","Transcriptional repressor NrdR",2012848.97641839,1976439.82108916,2057773.32026354,1962948.12580801,1459515.56031571,1322455.28591476,1439346.95923476,1384726.7779684,2257936.73533025,2241434.735,2186538.7192211,2204899.99339849,1902341.93549995,1842265.97590411,1882924.01715241,1807238.18722916,-0.258026757289521,-0.514820869822281,4.33119508921181,4.71251432794788,"not significant","not significant",0,0,"0"
"361","sp|P0A8D3|YAII_ECOLI","yaiI","UPF0178 protein YaiI",1135833.07147093,934549.891018537,977993.193480497,1111290.48066576,632019.069375393,614529.3519209,632788.002229003,707257.141288918,877349.160684972,861801.791,871772.813642966,870701.434141108,389644.684303475,350704.144138408,357057.928415561,388636.287265501,-1.22828499874013,-0.685414533681033,3.00814104903995,7.07942208364653,"not significant","significant",0,2,"2"
"362","sp|P0A8D6|YMDB_ECOLI","ymdB","O-acetyl-ADP-ribose deacetylase",705103.860870964,700658.282965035,730433.803913867,685715.906114931,926555.649795532,836447.070122513,822415.008136287,795647.663864787,1033469.30962512,1028699.246,993349.922727396,1046286.98210086,576660.132986962,535995.933887752,542369.788224185,494010.748566002,-0.932569013798583,0.260804994967102,2.17084571469728,5.92000739816318,"not significant","not significant",0,0,"0"
"363","sp|P0A8E1|YCFP_ECOLI","ycfP","UPF0227 protein YcfP",233044.626285195,227667.832960763,226149.463045968,255622.638141896,452660.982225271,430693.783763236,418640.391216876,425019.654520641,885340.668125323,916395.3096,865214.989756321,930257.904411491,359778.994675366,308066.107861515,309273.204168519,259929.491431688,-1.53997668647018,0.873739566392291,4.61170023351421,5.87731916969561,"not significant","significant",0,2,"2"
"364","sp|P0A8E7|YAJQ_ECOLI","yajQ","UPF0234 protein YajQ",12063809.2612337,11022356.7359691,10888699.4070539,11733194.9121472,7405473.13919614,7125553.25738367,7113893.7588156,7604507.58306207,7364036.38204531,7212693.652,6907996.72336886,7283116.73174554,7220370.9641749,6913485.33330555,6922418.57837758,6990792.43739476,-0.0366071509001028,-0.64404019870131,4.07354902746203,0.686592804723245,"not significant","not significant",0,0,"0"
"365","sp|P0A8F0|UPP_ECOLI","upp","Uracil phosphoribosyltransferase",17856869.5092093,14472509.8045535,13701406.0233701,16193300.9714301,8513535.15204748,8769333.66890541,8404508.39243537,9682034.74879446,9286944.08098249,9419198.064,9033260.05651515,10123545.727692,7897165.52941506,7520629.29590524,7447735.80248678,8373843.61602116,-0.277421185471955,-0.814970907428658,2.8913024330772,2.60887040685432,"not significant","not significant",0,0,"0"
"366","sp|P0A8F4|URK_ECOLI","udk","Uridine kinase",234071.232885428,238249.072474216,260224.84136067,244853.690616705,538988.589913998,522636.85180807,594130.047975641,534946.83973097,789519.274686558,735524.9453,833002.382702802,727833.89532649,350875.951771189,348865.026475193,352947.129975019,301680.20328742,-1.18806207038749,1.16437417205748,4.52046931449131,5.03521171397501,"significant","significant",1,2,"3"
"367","sp|P0A8F8|UVRB_ECOLI","uvrB","UvrABC system protein B",631816.176100739,620831.220002495,597346.43899107,673761.315619192,1026070.31381234,1081809.12049204,1097520.79432878,1163288.94510652,2113994.12691259,2143451.858,2121268.70137913,2201448.17088459,898721.267455696,742619.381259033,755867.573067303,713890.916813356,-1.46358066262368,0.791628513708755,4.15185658282778,6.32974997338195,"not significant","significant",0,2,"2"
"368","sp|P0A8G0|UVRC_ECOLI","uvrC","UvrABC system protein C",102167.248532516,101390.074215846,106443.915390726,104595.155447106,228430.450811843,218567.815814596,250424.845306588,230770.656349811,365801.713750601,378913.1797,361316.277285907,380511.148426977,152437.18880041,142879.108530739,141020.472653354,145549.284660064,-1.35315195844257,1.16271844450408,4.57655398095908,6.91969798093509,"significant","significant",1,2,"3"
"369","sp|P0A8G3|UXAC_ECOLI","uxaC","Uronate isomerase",12517088.9891405,10215415.5271246,10366462.6605116,12071312.3081756,7042340.92988492,7310204.85720156,7199626.32971899,7846421.81777396,13934160.5933369,13841617.22,13445275.8338577,13822714.5968264,17593422.4649453,17004658.2658808,18006389.0369781,17496350.4058758,0.348852084793677,-0.619626684272125,2.76045693830879,5.10306204442866,"not significant","not significant",0,0,"0"
"370","sp|P0A8G6|NQOR_ECOLI","wrbA","NAD(P)H dehydrogenase (quinone)",4133737.53526117,4553768.7114949,4244506.32450902,4351443.63430195,4337739.63402836,4345738.52106604,4308544.30072914,4399280.95963443,5989307.03802062,6160441.211,6035981.11208656,6154145.17306357,9700154.73755653,9694717.73784872,9896198.73118129,9932668.51323286,0.688405362011628,0.00897431666706209,0.093720706241632,7.13774737544621,"not significant","not significant",0,0,"0"
"371","sp|P0A8H6|YIHI_ECOLI","yihI","Der GTPase-activating protein YihI",2883466.5059557,2219169.85782838,2507919.627793,2688740.61203799,1899403.95622081,1524054.58929578,1699435.54216302,1814827.17734106,1860653.84693243,1769508.274,1639023.29226567,1780855.53099694,2015157.63041788,1830271.64998571,1942975.69521403,1874402.70216716,0.120241460986611,-0.570012026958463,2.34768129862794,1.28804404157727,"not significant","not significant",0,0,"0"
"372","sp|P0A8I1|YQGF_ECOLI","yqgF","Putative pre-16S rRNA nuclease",665865.188222815,596425.283717866,562229.347440609,647823.441935493,440854.373543559,400996.510990004,416490.633543191,477894.539394369,328502.408730746,321508.6487,330264.179532773,315984.232687305,413748.90427042,390827.828210782,399191.723320672,414293.176703718,0.319912033054933,-0.509915952663639,2.72862161347595,4.4616858687022,"not significant","not significant",0,0,"0"
"373","sp|P0A8I3|YAAA_ECOLI","yaaA","Peroxide stress resistance protein YaaA",190576.288827714,211087.991711636,212349.190680683,214335.222181172,628740.510763404,565226.271289837,631041.71869368,601626.476655377,1322901.25686285,1410884.169,1693888.85255379,1588127.20894226,350440.439743449,336305.20020341,272568.378375322,305705.053683936,-2.24959782516313,1.5506470065623,4.86875943670749,4.75729783038171,"significant","significant",1,2,"3"
"374","sp|P0A8I5|TRMB_ECOLI","trmB","tRNA (guanine-N(7)-)-methyltransferase",896371.984873057,968712.764482749,863086.521397553,892015.514943354,920464.169253986,905169.941578844,1119823.07428803,970653.943838348,1659485.28823679,1784565.359,1764322.2335304,1578083.24377008,537152.896863044,535868.164220874,412326.739229161,514538.435405164,-1.76274046420798,0.113357569482513,0.583943193938898,5.67226587808607,"not significant","significant",0,2,"2"
"375","sp|P0A8I8|RLMH_ECOLI","rlmH","Ribosomal RNA large subunit methyltransferase H",96483.1037253374,80731.324202945,76644.9525760609,93942.1875920543,116887.715006786,121728.522505695,127174.885802201,123522.661768544,239557.127258105,249307.1641,244478.043788464,236152.988682855,101104.615498544,87359.794200304,80829.940972457,92986.320298155,-1.42012610513104,0.492495490160255,2.81821972696851,6.29522994221313,"not significant","significant",0,2,"2"
